iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6
47	0.891764898	0.2330814286	0.6739108572	0.9985505239	0.9195725142	0.9984658089	0.9127917084	0.7376867275	0.9921872342
48	0.891915102	0.2321922959	0.6793275286	0.9984803908	0.919576283	0.9984943091	0.9127917084	0.7349227946	0.9922716216
49	0.8920187755	0.2312414796	0.6796336117	0.9984818168	0.919576283	0.9985658203	0.9127944443	0.7351187495	0.9924277761
50	0.8921722449	0.2300094133	0.6789842857	0.9986058975	0.9195800518	0.9981730875	0.9127924925	0.7361947389	0.9930402068
51	0.8922836735	0.2280664541	0.6790278823	0.9986301468	0.9195800518	0.998174511	0.9128299653	0.7367785591	0.9929852684
52	0.8923089796	0.226751301	0.6800735757	0.998517469	0.919581308	0.9982144232	0.9128381112	0.7361578175	0.9931176944
53	0.8925040816	0.2260737245	0.6806915981	0.9985188952	0.9196285378	0.998184445	0.9128381112	0.736833936	0.9931641927
54	0.8929077551	0.2246180102	0.682001375	0.9986415586	0.9196285378	0.9982998437	0.9128755809	0.7381301492	0.9931571473
55	0.8930546939	0.2240592602	0.6829924218	0.9986401321	0.9196270619	0.9982984198	0.9128755809	0.7382928162	0.9931966033
56	0.8933379592	0.222386148	0.6842943071	0.9984575747	0.9196285378	0.9986886397	0.9128902422	0.7384108663	0.9939525089
57	0.8934502041	0.221762551	0.6847953566	0.9984447412	0.9197189371	0.9986886397	0.9128847704	0.7386001304	0.9940287274
58	0.8934779592	0.2213234439	0.6851054332	0.9984447412	0.9197189371	0.9986829206	0.9128847704	0.7385432104	0.9940202581
59	0.8934020408	0.220525051	0.6847700801	0.9983976876	0.9197063741	0.9986757689	0.9128861384	0.7384973224	0.9938269151
60	0.8935057143	0.2196271939	0.684980377	0.9983791526	0.9197234235	0.9987141705	0.9128877674	0.7388928311	0.9939200491
61	0.893535102	0.2188195408	0.6851010014	0.9984262044	0.9197246798	0.9986771373	0.9128929154	0.7389657529	0.9939172266
62	0.8935693878	0.2181495153	0.6848092633	0.998449019	0.9197246798	0.9986898928	0.9128929154	0.7393613104	0.9939186378
63	0.8936416327	0.2172468622	0.6852642449	0.9984404634	0.9197221672	0.9986371686	0.9128929154	0.7394988718	0.9939369844
64	0.89378	0.2162617857	0.6862608903	0.9984290562	0.9197334739	0.9986942506	0.912884969	0.7395418327	0.9940019085
65	0.8940910204	0.2152787245	0.6865301621	0.9984290562	0.9197422683	0.9987227551	0.9128865979	0.7402447192	0.9955428126
66	0.894144898	0.2147115561	0.6866017355	0.9984290562	0.9197397556	0.9987526545	0.9128865979	0.7404744334	0.9955937864
67	0.894364898	0.2144014031	0.6876624345	0.9984290562	0.9197397556	0.9987626535	0.9128865979	0.7410227994	0.9955952024
68	0.8945285714	0.2130520026	0.6874798335	0.998636363	0.9197422683	0.9987384549	0.9128838621	0.7416377922	0.9959861757
69	0.8954457143	0.2125467602	0.6884893907	0.9985662878	0.9219404879	0.9987384549	0.9162428305	0.7418040008	0.9959975129
70	0.8956204082	0.211886773	0.6891284731	0.9985591581	0.921941754	0.998842505	0.9163558363	0.7422140711	0.9959875928
71	0.8958277551	0.2112495281	0.6892269305	0.9986320852	0.921941754	0.9988482074	0.9163558363	0.7432890949	0.9959875928
72	0.8961122449	0.2103095791	0.6903562416	0.9987234152	0.9219430201	0.9986843119	0.9163768204	0.7436393878	0.9967832381
